ipVersion,startIp,endIp,datacenter,domain
4,148.252.193.102,148.252.193.102,M247 UK Ltd,m247.com
4,61.244.237.23,61.244.237.23,MERIT POINT LTD - HO LIK CENTRE,merit.edu
4,176.9.69.208,176.9.69.215,Hetzner Online GmbH,www.hetzner.com
4,85.236.35.0,85.236.35.127,InterNetX GmbH,www.internetx.com
4,195.110.67.192,195.110.67.199,GOOGLE,www.google.com
4,94.46.62.95,94.46.62.95,MissDomain Group AB,missdomain.com
4,109.75.164.44,109.75.164.44,WebHosting UK Com LTD server,www.eukhost.com
4,193.33.178.128,193.33.178.191,Freethought Internet Limited,www.freethought.uk
4,89.252.133.0,89.252.133.255,Netinternet Bilisim Teknolojileri AS,www.netinternet.com.tr
4,213.92.6.0,213.92.7.255,I.NET S.p.A.,www.inet.de
4,169.60.101.0,169.60.101.15,"StackPath, LLC",www.stackpath.com
4,217.163.105.0,217.163.105.15,MIMECAST-SERVICES-LTD,www.mimecast.com
4,37.44.2.180,37.44.2.181,SysEleven GmbH,www.syseleven.de
4,37.71.128.120,37.71.128.123,Internet Services,isi.ch
4,5.158.87.0,5.158.87.255,TAMIZA NET 1,malagadatacenter.com
4,78.47.69.168,78.47.69.175,Hetzner Online GmbH,www.hetzner.com
4,5.9.173.112,5.9.173.127,Hetzner Online GmbH,www.hetzner.com
4,141.95.10.80,141.95.10.95,OVH SAS,proof.ovh.net
4,176.67.88.44,176.67.88.45,SAS INTERCLOUD,intercloud.com
4,62.216.241.48,62.216.241.63,Equinix (Netherlands) Enterprises BV,www.equinix.com
4,83.244.244.64,83.244.244.127,Exponential-e Ltd,www.exponential-e.com
4,129.232.247.0,129.232.247.15,xneelo-tscolo,xneelo.co.za
4,162.19.217.96,162.19.217.127,OVH GmbH,proof.ovh.net
4,5.8.99.48,5.8.99.51,MITAN TELEMATICA SRL,www.telematica.at
4,27.111.245.8,27.111.245.15,Equinix Australia Pty Ltd,www.equinix.com
4,5.187.25.104,5.187.25.111,IOMART-PA-5-187-25-104,www.rapidswitch.com
4,157.120.190.0,157.120.190.255,"GMO INTERNET PTE. LTD. 20 ANSON ROAD # 09-02 TWENTY ANSON, SINGAPORE (079912)",www.gmo.jp
4,78.47.249.144,78.47.249.151,Hetzner Online GmbH,www.hetzner.com
4,5.78.123.0,5.78.123.255,Hetzner Online GmbH,www.hetzner.com
4,200.93.241.0,200.93.241.255,Internet Systems Consortium,www.isc.org
4,195.177.61.0,195.177.61.31,Plusserver GmbH,www.plusserver.com
4,185.211.168.255,185.211.168.255,IT Hostline Ltd,ithostline.com
4,185.62.59.172,185.62.59.172,Snel.com B.V.,www.snel.com
